Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
,Naked Lunch,William S. Burroughs,"Burroughs, William S.",,"=""""","=""""",0,,,,,,,,2026/07/14,to-read,,to-read,,,recommended by a coworker at Dfinity,0,0
,Heroes: A Novel of Pearl Harbor,Alan Gratz,"Gratz, Alan",,"=""""","=""""",0,,,,,,,,2026/07/14,to-read,,to-read,,,recommended by Nico,0,0
,"The Apothecary (The Apothecary, #1)",Maile Meloy,"Meloy, Maile",,"=""""","=""""",0,,,,,,,,2026/07/14,to-read,,to-read,,,recommended by Nico,0,0
,"Persepolis: The Story of a Childhood (Persepolis, #1-2)",Marjane Satrapi,"Satrapi, Marjane",,"=""""","=""""",0,,,,,,,,2026/07/14,to-read,,to-read,,,recommended by Nico,0,0
,The Republic of Pirates: Being the True and Surprising Story of the Caribbean Pirates and the Man Who Brought Them Down,Colin Woodard,"Woodard, Colin",,"=""""","=""""",0,,,,,,,,2026/07/14,to-read,,to-read,,,,0,0
,The Moon Is a Harsh Mistress,Robert A. Heinlein,"Heinlein, Robert A.",,"=""""","=""""",0,,,,,,,,2026/07/14,to-read,,to-read,,,,0,0
,Narrative of the Life of Frederick Douglass,Frederick Douglass,"Douglass, Frederick",,"=""""","=""""",0,,,,,,,,2026/07/14,to-read,,to-read,,,,0,0
,"Shadow and Bone (The Shadow and Bone Trilogy, #1)",Leigh Bardugo,"Bardugo, Leigh",,"=""""","=""""",0,,,,,,,,2026/07/14,to-read,,to-read,,,,0,0
,Uncanny Valley,Anna Wiener,"Wiener, Anna",,"=""""","=""""",3,,,,,,,,2026/07/14,,,read,,,"meh, was alright.",1,0
,The Future,Naomi Alderman,"Alderman, Naomi",,"=""""","=""""",4,,,,,,,,2026/07/14,,,read,,,pretty good.,1,0
,"Legends & Lattes (Legends & Lattes, #1)",Travis Baldree,"Baldree, Travis",,"=""""","=""""",3,,,,,,,,2026/07/14,,,read,,,decent,1,0
,Birnam Wood,Eleanor Catton,"Catton, Eleanor",,"=""""","=""""",3,,,,,,,,2026/07/14,,,read,,,recommended by Sara. Meh.,1,0
,"A Pirate of Exquisite Mind: Explorer, Naturalist, and Buccaneer: The Life of William Dampier",Diana Preston,"Preston, Diana",Michael Preston,"=""""","=""""",4,,,,,,,,2026/07/14,,,read,,,pretty interesting!,1,0
,"The Housemaid (The Housemaid, #1)",Freida McFadden,"McFadden, Freida",,"=""""","=""""",3,,,,,,,,2026/07/14,,,read,,,,1,0
,"Slippage: Previously Uncollected, Precariously Poised Stories",Harlan Ellison,"Ellison, Harlan",,"=""""","=""""",3,,,,,,,,2026/07/14,,,read,,,,1,0
,"We Are Legion (We Are Bob) (Bobiverse, #1)",Dennis E. Taylor,"Taylor, Dennis E.",,"=""""","=""""",3,,,,,,,,2026/07/14,,,read,,,,1,0
,"Dungeon Crawler Carl (Dungeon Crawler Carl, #1)",Matt Dinniman,"Dinniman, Matt",,"=""""","=""""",4,,,,,,,,2026/07/14,,,read,,,,1,0
,"Carl's Doomsday Scenario (Dungeon Crawler Carl, #2)",Matt Dinniman,"Dinniman, Matt",,"=""""","=""""",4,,,,,,,,2026/07/14,,,read,,,,1,0
,"The Dungeon Anarchist's Cookbook (Dungeon Crawler Carl, #3)",Matt Dinniman,"Dinniman, Matt",,"=""""","=""""",4,,,,,,,,2026/07/14,,,read,,,,1,0
,"The Gate of the Feral Gods (Dungeon Crawler Carl, #4)",Matt Dinniman,"Dinniman, Matt",,"=""""","=""""",4,,,,,,,,2026/07/14,,,read,,,,1,0
,"The Butcher's Masquerade (Dungeon Crawler Carl, #5)",Matt Dinniman,"Dinniman, Matt",,"=""""","=""""",4,,,,,,,,2026/07/14,,,read,,,,1,0
,"The Eye of the Bedlam Bride (Dungeon Crawler Carl, #6)",Matt Dinniman,"Dinniman, Matt",,"=""""","=""""",4,,,,,,,,2026/07/14,,,read,,,,1,0
,"This Inevitable Ruin (Dungeon Crawler Carl, #7)",Matt Dinniman,"Dinniman, Matt",,"=""""","=""""",4,,,,,,,,2026/07/14,,,read,,,,1,0
,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""""","=""""",5,,,,,,,,2026/07/14,,,read,,,,1,0
,"Zero G (Zero G, #1)",Dan Wells,"Wells, Dan",,"=""""","=""""",4,,,,,,,,2026/07/14,,,read,,,,1,0
,Dragon Planet,Dan Wells,"Wells, Dan",,"=""""","=""""",4,,,,,,,,2026/07/14,,,read,,,,1,0
,"Stargazer (Zero G, #2)",Dan Wells,"Wells, Dan",,"=""""","=""""",4,,,,,,,,2026/07/14,,,read,,,,1,0
,Lullaby,Chuck Palahniuk,"Palahniuk, Chuck",,"=""0385504470""","=""9780385504478""",4,4.36,Doubleday,,272,2002,2002,2026/08/20,2026/08/20,,,read,,,,1,0
