Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
172468,Maui Revealed: The Ultimate Guidebook,Andrew Doughty,"Doughty, Andrew",,"=""0971727937""","=""9780971727939""",5,4.49,Wizard Pubns,Paperback,311,2005,2000,,2017/02/11,,,read,,,,1,0
764732,Worlds to Explore: Classic Tales of Travel and Adventure from National Geographic,Mark Jenkins,"Jenkins, Mark",,"=""0792254872""","=""9780792254874""",5,3.90,National Geographic,Hardcover,464,2006,2006,,2017/02/11,,,read,,,,2,0
28251250,White Noise,Don DeLillo,"DeLillo, Don",,"=""0143129554""","=""9780143129554""",0,3.86,Penguin Classics,Paperback,320,2016,1985,,2017/02/11,to-read,to-read (#40),to-read,,,,0,0
16902,"Walden or, Life in the Woods",Henry David Thoreau,"Thoreau, Henry David",Bill McKibben,"=""""","=""""",0,3.77,Princeton University Press,Paperback,352,2004,1854,,2017/02/11,to-read,to-read (#39),to-read,Didn't finish it. He seemed rather pretentious and judgmental. Perhaps I'll try again later.,,,1,0
17401136,"Vurt (Vurt, #1)",Jeff Noon,"Noon, Jeff",Lauren Beukes,"=""0230768806""","=""9780230768802""",0,4.04,Tor,Hardcover,368,2013,1993,,2017/02/11,to-read,to-read (#38),to-read,,,,0,0
12007,"Use of Weapons (Culture, #3)",Iain M. Banks,"Banks, Iain M.",,"=""185723135X""","=""9781857231359""",0,4.16,Orbit Books,Paperback,411,1992,1990,,2017/02/11,to-read,to-read (#37),to-read,,,,0,0
176181,The Tenacity of the Cockroach: Conversations with Entertainment's Most Enduring Outsiders,Stephen Thompson,"Thompson, Stephen","Nathan Rabin, A.V. Club","=""0609809911""","=""9780609809914""",0,3.93,Three Rivers Press,Paperback,407,2002,2002,,2017/02/11,to-read,to-read (#35),to-read,,,,0,0
317496,"The Sword of Bheleu (The Lords of Dûs, #3)",Lawrence Watt-Evans,"Watt-Evans, Lawrence",,"=""1587156253""","=""9781587156250""",3,3.78,Borgo Press,Paperback,288,2002,1982,,2017/02/11,,,read,,,,1,0
49552,The Stranger,Albert Camus,"Camus, Albert",Matthew  Ward,"=""""","=""""",0,4.03,Vintage International,Paperback,123,1989,1942,,2017/02/11,to-read,to-read (#34),to-read,,,,0,0
17214,Starship Troopers,Robert A. Heinlein,"Heinlein, Robert A.",,"=""""","=""""",4,4.01,Ace Books,Mass Market Paperback,264,1987,1959,,2017/02/11,,,read,,,,2,0
503490,Solipsist,Henry Rollins,"Rollins, Henry",,"=""1880985594""","=""9781880985595""",5,3.97,2.13.61,Paperback,166,1998,1998,,2017/02/11,,,read,,,,1,0
22816087,Seveneves,Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",4,4.00,William Morrow,Kindle Edition,872,2015,2015,,2017/02/11,,,read,The part where he skips 5000 years or whatever is kind of annoying.,true,,1,0
24611668,Saturn Run,John Sandford,"Sandford, John",Ctein,"=""0399176950""","=""9780399176951""",3,3.92,G.P. Putnam's Sons,Hardcover,486,2015,2015,,2017/02/11,,,read,,,,1,0
