Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
4069,Man's Search for Meaning,Viktor E. Frankl,"Frankl, Viktor E.",,"=""080701429X""","=""9780807014295""",3,4.34,Beacon Press,Paperback,184,2006,1946,2017/04/11,2017/02/11,,,read,,,,1,,,0,,,,,
24970,Either/Or: A Fragment of Life,Søren Kierkegaard,"Kierkegaard, Søren","Victor Eremita, Alastair Hannay","=""0140445773""","=""9780140445770""",0,4.17,Penguin Classics,Paperback,640,1992,1843,,2017/04/10,to-read,to-read (#114),to-read,,,,0,,,0,,,,,
24965,Fear and Trembling,Søren Kierkegaard,"Kierkegaard, Søren",Alastair Hannay,"=""0143037579""","=""9780143037576""",0,4.00,Penguin Books,Paperback,160,2006,1843,,2017/04/10,to-read,to-read (#113),to-read,,,,0,,,0,,,,,
7147831,Min kamp 1 (Min kamp #1),Karl Ove Knausgård,"Knausgård, Karl Ove",,"=""""","=""9788252574586""",0,4.08,Forlaget okober,Hardcover,435,2009,,,2017/04/05,to-read,to-read (#112),to-read,,,,0,,,0,,,,,
287219,Philippe Halsman's Jump Book. 1986. Paper.,Philippe Halsman,"Halsman, Philippe",Mike Wallace,"=""0810923386""","=""9780810923386""",4,4.52,Abrams,Paperback,96,1986,1986,,2017/02/15,,,read,,,,1,,,0,,,,,
27968891,Site Reliability Engineering: How Google Runs Production Systems,Betsy Beyer,"Beyer, Betsy","Chris     Jones, Jennifer Petoff, Niall Richard Murphy","=""149192912X""","=""9781491929124""",0,4.25,O'Reilly Media,Paperback,552,2016,2016,,2017/03/28,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
25943103,Super Happy Magic Forest,Matty Long,"Long, Matty",,"=""0545860598""","=""9780545860598""",5,4.03,Scholastic Press,Hardcover,32,2016,2015,,2017/02/15,,,read,,,,1,,,0,,,,,
23341839,Rude Cakes,Rowboat Watkins,"Watkins, Rowboat",,"=""1452138516""","=""9781452138510""",5,3.66,Chronicle Books,Hardcover,40,2015,2015,,2017/03/11,,,read,,,,1,,,0,,,,,
7286699,The Thing Beneath the Bed (The Adventures of the Princess and Mr. Whiffle #1),Patrick Rothfuss,"Rothfuss, Patrick",Nate  Taylor,"=""1596063130""","=""9781596063136""",0,4.26,Subterranean Press,Hardcover,72,2010,2010,,2017/03/21,to-read,to-read (#111),to-read,,,,0,,,0,,,,,
21032488,"Doors of Stone (The Kingkiller Chronicle, #3)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""0575081449""","=""9780575081444""",0,4.11,Gollancz,Hardcover,896,,,,2017/03/21,to-read,to-read (#110),to-read,,,,0,,,0,,,,,
21535271,The Slow Regard of Silent Things (The Kingkiller Chronicle #2.5),Patrick Rothfuss,"Rothfuss, Patrick",Nate  Taylor,"=""0756410436""","=""9780756410438""",0,3.92,DAW Books,Hardcover,159,2014,2014,,2017/03/21,to-read,to-read (#109),to-read,,,,0,,,0,,,,,
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""075640407X""","=""9780756404079""",5,4.55,Penguin Group DAW,Hardcover,662,2007,2007,,2017/02/13,,,read,,,,1,,,0,,,,,
2545,The Treasured Writings of Kahlil Gibran,Kahlil Gibran,"Gibran, Kahlil",,"=""089009389X""","=""9780890093894""",0,4.43,Castle Books,Hardcover,902,2009,1947,2017/03/21,2017/02/11,did-not-finish,did-not-finish (#7),read,,,,1,,,0,,,,,
34490192,Soonish: Ten Emerging Technologies That'll Improve and/or Ruin Everything,Kelly Weinersmith,"Weinersmith, Kelly",Zach Weinersmith,"=""0399563822""","=""9780399563829""",0,3.97,Penguin Press,Hardcover,358,2017,2017,,2017/03/13,to-read,to-read (#108),to-read,,,,0,,,0,,,,,
2213661,The Graveyard Book,Neil Gaiman,"Gaiman, Neil",Dave McKean,"=""0060530928""","=""9780060530921""",0,4.12,HarperCollins,Hardcover,312,2008,2008,,2017/03/02,to-read,to-read (#107),to-read,,,,0,,,0,,,,,
6693,Fantastic Mr. Fox,Roald Dahl,"Dahl, Roald",Quentin Blake,"=""0375822070""","=""9780375822070""",2,4.04,Knopf Books for Young Readers,Hardcover,96,2002,1970,,2017/03/01,,,read,,,,1,,,0,,,,,
