Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
803021,The Complete Book of Dwarves,Jim Bambra,"Bambra, Jim",,"=""1560761105""","=""9781560761105""",0,3.52,"TSR, Inc",Paperback,128,1991,1991,,2017/02/13,forgot,forgot (#151),read,,,,1,,,0,,,,,
737327,The Complete Spacefarer's Handbook,TSR Inc.,"Inc., TSR",,"=""1560763477""","=""9781560763475""",0,3.87,TSR,Paperback,127,1992,1992,,2017/02/13,forgot,forgot (#150),read,,,,1,,,0,,,,,
737326,"SpellJammer: Lost Ships (Advanced Dungeons & Dragons 2nd Edition, Stock #9280)",Ed Greenwood,"Greenwood, Ed",,"=""0880388315""","=""9780880388313""",0,3.43,TSR,Paperback,96,1990,1990,,2017/02/13,forgot,forgot (#149),read,,,,1,,,0,,,,,
737342,"Realmspace (Advanced Dungeons & Dragons/Spelljammer, SJR2)",Dale Henson,"Henson, Dale",,"=""1560760524""","=""9781560760528""",0,3.55,Wizards of the Coast,Paperback,96,1991,1991,,2017/02/13,forgot,forgot (#148),read,,,,1,,,0,,,,,
737330,Spelljammer: Advanced Dungeons and Dragons Adventures in Space (Boxed Set),Jeff Grubb,"Grubb, Jeff",,"=""0880387629""","=""9780880387620""",0,3.58,Wizards of the Coast,Hardcover,210,1989,1989,,2017/02/13,forgot,forgot (#147),read,,,,1,,,0,,,,,
58147,"Player's Handbook (Advanced Dungeons & Dragons, Stock #2101)",David Zeb Cook,"Cook, David Zeb",,"=""0880387165""","=""9780880387163""",0,4.02,TSR,Hardcover,255,1995,1989,,2017/02/13,forgot,forgot (#146),read,,,,1,,,0,,,,,
1410150,Monstrous Compendium: Ravenloft:  Appendix: (Advanced Dungeons & Dragons 2nd Edition),William Connors,"Connors, William",,"=""1560761083""","=""9781560761082""",0,3.58,"TSR, Inc.",Looseleaf,32,1991,1991,,2017/02/13,forgot,forgot (#145),read,,,,1,,,0,,,,,
737334,Monstrous Compendium: Spelljammer Appendix,John Terra,"Terra, John",,"=""0880388714""","=""9780880388719""",0,3.49,Wizards of the Coast,Unbound,32,1990,1990,,2017/02/13,forgot,forgot (#144),read,,,,1,,,0,,,,,
1893636,Monstrous Compendium: Outer Planes Appendix,James Lafountain,"Lafountain, James","Thomas Baxa, Timothy B. Brown","=""1560760559""","=""9781560760559""",0,3.38,TSR Hobbies,Paperback,98,1991,1991,,2017/02/13,forgot,forgot (#143),read,,,,1,,,0,,,,,
1446598,Monstrous Compendium: Volume Two,Mike Breault,"Breault, Mike","Kim Mohan, Bruce Heard","=""088038753X""","=""9780880387538""",0,3.45,TSR,Unbound,144,1989,1989,,2017/02/13,forgot,forgot (#142),read,,,,1,,,0,,,,,
802903,Monstrous Compendium: Fiend Folio Appendix,Skip Williams,"Williams, Skip",Jean Rabe,"=""1560764287""","=""9781560764281""",0,3.78,TSR,Unbound,64,1992,1992,,2017/02/13,forgot,forgot (#141),read,,,,1,,,0,,,,,
1893635,Monstrous Compendium: Al Qadim Appendix,Wolfgang Baur,"Baur, Wolfgang",Steve Kurtz,"=""1560763701""","=""9781560763703""",0,3.46,TSR,Unbound,64,1992,1992,,2017/02/13,forgot,forgot (#140),read,,,,1,,,0,,,,,
